Proyecto;NombreBot;AreaImpactada;Rol_Impactado;Tipo_Impacto;ValorHoraProyecto
Transmitir Facturas;Transmitir Facturas;Gestion Tributaria;Auxiliar Operativo;Ahorrado;20132
Generador informe;Generador informe;Admisiones y Registro;Asesor de área;Salvado;36524
Generación RIPS Extranjeros;Asistente Digital RIPS Extranjeros;Analítica de salud;;Salvado;37890.25
Actualización Tasa de usura;Tasa de usura;Centro de computo;"Asesor de área ";Salvado;36573
Generación RIPS Covid;Asistente Digital RIPS COVID;Analítica de salud;;Salvado;37890.25
Proyecto - Vinculados;GestorVinculados;Empleo;Conector con propósito Empleo;Salvado;30384.0718918919
Novedades Nomina Instructores;Novedades Nomina Instructores;Soporte Personas y Familia;Ayudante de Proceso;Salvado;20730
Agendamiento automático de citas;Bot extractor+agendamiento gnecologia+agendamiento pediatria;Punto virtual;Ayudante de salud;Salvado;13821.81
Actualización DTF/DTF90;DTF;Centro de computo;"Asesor de área ";Salvado;36573
Vacunación tradicional;Vacunacion tradicional APIS;Vacunacion;;Salvado;10218.97
Plan Operativo Q10;Plan Operativo;Soporte Personas y Familia;Profesional Administrativo Financiero/auxiliar;Ahorrado;39985
Aplicacion de pagos Facturacion y libranzas;Pagos Facturacion y Libranza;Tesoreria;Auxiliar Operativo;Salvado;6471
"Flujo de liberaciones ";FlujoDeLiberaciones_V3;Tecnología;Profesional Asesor;Ahorrado;
RPA_ClasificacionPQRS_Clasificador;RPA_ClasificacionPQRS_Clasificador;Gestión Documental;Ayudante de Proceso;Salvado;28982
RPA_AfiliacionesEmpleadores;RPA_AfiliacionesEmpleadores;Afiliaciones;Asesora de area;Ahorrado;16086
Vacunacion tradicional Extraccion de información vacunet;Vacunacion tradicional Extraccion de información vacunet;Salud;Aux. de enfermeria;Salvado;10218.97
Cubo de ventas;Cubo de ventas;Empresas;Gestor de Información Empresas;Salvado;11875
RPA_VacunacionCovid;RPA_VacunacionCovid;Salud;Aux. de enfermeria;Salvado;10218.97
Prisma;Prisma;Validación documentos OCR;Digitador (tercero);AhorradoT;6039
Diagnostico Bienestar Informe Avances;Diagnostico Bienestar Informe Avances;Diagnostico Bienestar Informe Avances;Profesional mercadeo Empresas;Salvado;11382
RPA Actualizacion Moneda;RPA Actualizacion Moneda;Tesoreria;Auxiliar tesoreria;Salvado;16252
Aplicación pagos Creditos;Aplicacion pagos creditos;Tesoreria;Auxiliar Operativo;Salvado;12540
Aseguramiento venta empresarial;Aseguramiento venta empresarial+Transcriptor;Empresas;Aliado de Negocio;Salvado;18106.8383675676
Carga Masiva Trabajadores Dependientes;Carga Masiva Trabajadores Dependientes;Afiliaciones;Gestor Afiliaciones y Aportes;Salvado;20730
Carga de aportes para la contabilización y novedades Pila;Carga de aportes para la contabilización y novedades Pila;Aportes;Gestor Afiliaciones y Aportes;Salvado;16128.6
Extracción SAP para subsidios (Programador);Extracción SAP para subsidios (Programador);Subsidios;Asesor Subsidios;Salvado;35178
Vacunacion tradicional Validacion Contrasenias;Vacunacion tradicional Validacion Contrasenias;Salud;Aux. de enfermeria;Salvado;10218.97
Novedades nómina;IA_Novedades_Nomina;Servicio de gestión humana;Analista nómina;Ahorrado;
Aplicación pagos Creditos;Aplicacion pagos Creditos;Tesoreria;Auxiliar Operativo;Salvado;12540
Aprendizajes Esenciales Q10;Aprendizajes Esenciales;Soporte Personas y Familia;Prof. Administrativo Colegio;Salvado;39985
Proyecto - Remitidos;GestorRemitidos;Empleo;Conector con propósito Empleo;Salvado;30384.0718918919
;Cubo Empresas;Empresas;Gestor de Información Empresas;Salvado;18106.8383675676
Contabilización facturas proveedores;Contabilización facturas proveedores;Gestión contable;Auxiliar Operativo;Salvado;22102
Diagnostico Bienestar;Diagnostico Bienestar;Diagnostico Bienestar;Ayudante de proceso;Salvado;13505.8
Vacunacion tradicional Extraccion De Lotes;Vacunacion tradicional Extraccion De Lotes;Salud;Aux. de enfermeria;Salvado;10218.97
Performer_Medios_De_Pago;Performer_Medios_De_Pago;Subsidios;Gestor de Subsidios;Salvado;19709
Servicios en linea;Servicios en línea;Afiliaciones;Gestor de Afiliaciones y Aportes;Salvado;16086
Sincronizacion Novedades Nomina Instructores;Sincronizacion Novedades Nomina Instructores;Soporte Personas y Familia;Ayudante de Proceso;Salvado;20730
Cubo de ventas;Cubo de ventas;Regiones;Ayudante de Proceso;Salvado;10787.5
RPA Estaticas SISE;RPA Estaticas SISE;Empleo;Asesor de area;Ahorrado;40071
Vacunacion tradicional carga de información;Vacunacion tradicional carga de información;Salud;Aux. de enfermeria;Salvado;10218.97
RPASubvencionesFacturador;RPASubvencionesFacturador;Soporte Personas y Familia;Ayudante Operativo;Salvado;15471
RPASubvencionesExtractor;RPASubvencionesExtractor;RPASubvencionesExtractor;Ayudante Operativo;Salvado;15471
Carga de aportes para la contabilización y novedades Pila;Carga de aportes para la contabilización y novedades Pila;Aportes;Auxiliar Operativo;Salvado;32423
Aplicacion de pagos Facturacion y libranzas;Pagos Facturacion y Libranza;Tesoreria;Auxiliar Operativo;Salvado;6471
Correcciones vacunacion;Correcciones vacunacion;Vacunacion;;Salvado;16426
Informe y cruce primera infancia;Informe y cruce primera infancia;Soporte Personas y Familia;Profesional Educación;Salvado;42893
Contingencia Plan Nacional;ContingenciaPlanNacional;Analítica de salud;Analítica de salud;Salvado;37890.25
AtomHojaVida;AtomHojaVida;Empleo;Conector con propósito Empleo;Salvado;30384.0718918919
Asignación Ingresos;Asignación Ingresos;Tesoreria;Auxiliar Operativo;Salvado;20278
Perfilamiento Informatico;PerfilamientoInformatico;Experiencia Tecnológica;" Asesor de área ";Salvado;48627
Gestión de Contratos y Alertas Financiera TI;Gestión Alertas Vencimiento Contratos TI;Gestión financiera TI;Ayudante de Proceso;Salvado;22102
Diagnostico Bienestar;Diagnostico Bienestar;Diagnostico Bienestar;Profesional mercadeo Empresas;Salvado;11382
Aplicacion de pagos Facturacion y libranzas;Pagos Facturacion y Libranza;Tesoreria;Auxiliar Operativo;Salvado;6471
Generación RIPS Facturación Sura;Asistente Digital RIPS Sura;Analítica de salud;;Salvado;37890.25
Aportes Fuera de Pila;Aportes Fuera de Pila;Aportes;Gestor Afiliaciones y Aportes;Salvado;26881
Tawk To;Tawk To;Salud Continua;Ayudante de salud;Ahorrado;13282.31
Convocatorias Atom;Convocatorias Atom;Empleo;Gestor Administrativo;Salvado;18106.8383675676
RPACambioEstrategia;RPACambioEstrategia;Vacunacion;;Salvado;16426
Reporte Vacunas Andi;ReporteVacunasAndi;Analítica de salud;;Salvado;37890.25
Plan Operativo Q10 - Preescolar;Plan Operativo Q10 - Preescolar;Soporte Personas y Familia;Profesional Administrativo Financiero/auxiliar;Ahorrado;39985
Pignoración cartera castigada;Pignoración cartera castigada;Centro de computo;"Asesor de área ";Salvado;36573
Anulación matrículas;anulacion matriculas;Soporte Personas y Familia;"Asesor de área ";Ahorrado;36524
Carga Vacunación Privados;ContingenciaVacunacionPrivados;Analítica de salud;;Salvado;37890.25
SubsidiosEmpleo;SubsidiosEmpleo;Empleo;Gestor Administrativo;Ahorrado;31291
Generación RIPS Entes Territoriales;Asistente Digital RIPS Entes;Analítica de salud;;Salvado;37890.25
Atom;Atom;Empleo;Conector con propósito Empleo;Salvado;30384.0718918919
Aula digital;Aula digital;Soporte Personas y Familia;Instructor Li;Salvado;43372
Aplicacion de pagos Facturacion y libranzas;Pagos Facturacion y Libranza;Tesoreria;Auxiliar Operativo;Salvado;6471
Correcciones Plan Nacional;CorreccionesPNV;Analítica de salud;Analítica de salud;Salvado;37890.25
Informe Covid;Informe Covid;Analítica de salud;Analítica de salud;Salvado;31504.42
RPA Informe Posiciones;RPA Informe Posiciones;Aportes;Gestor Afiliaciones y Aportes;Salvado;19294
Facturación continua;(BOT Extractor + BOT Facturador de subvenciones);Soporte Personas y Familia;Ayudante de Proceso;Salvado;19246
RPA_Eventtia;RPA_Eventtia;Experiencia cultura;Ayudante Convenio;Salvado;17617
Parametrica SURA;Asistente Digital Parametricas Uno+Dos;Punto virtual;;Salvado;13821.81
RPA_AfiliacionesTrabajadores;RPA_AfiliacionesTrabajadores;Afiliaciones;Asesora de area;Ahorrado;16086
RPA_ReporteGIASS;RPA_ReporteGIASS;Empleo;Gestor Administrativo;Salvado;24293
Facturación Electrónica;Facturación Electrónica;Gestión Documental;Auxiliar Operativo;Ahorrado;16484
RPAInformeUIAF;RPAInformeUIAF;Salud;Oficial Cumplimiento Sarlaft;Ahorrado;37890.25
Facturas pendientes por liberar;Facturas pendientes por liberar;Contabilidad;Profesional contabilidad;Salvado;34384
Servicios en linea;Servicios en línea;Afiliaciones;Gestor de Afiliaciones y Aportes;Salvado;16086
Novedades nómina;IA_Novedades_Nomina;Servicio de gestión humana;Responsable nómina;Ahorrado;
RPA_Certificados_Empleo;RPA_Certificados_Empleo;Empleo;Asesor de area;Ahorrado;25373
Actualización Sisben Preescolares Q10;Actualización Sisben Preescolares Q10;Aprendizaje y Educación;Profesional de área;Salvado;63745
Validación automática Certificados Escolaridad;Performer_Certificados_Escolaridad;Subsidios Monetarios;Costo por documento;Ahorrado;1612.45
RPA Actualizacion TRM;RPA Actualizacion TRM;Tesoreria;Auxiliar tesoreria;Salvado;16252
RPA_ClasificacionPQRS_Clasificador;RPA_ClasificacionPQRS_Clasificador;Gestión Documental;Ayudante de Proceso;Salvado;22350
Diagnostico Bienestar Informe Avances;Diagnostico Bienestar Informe Avances;Diagnostico Bienestar Informe Avances;Ayudante de proceso;Salvado;13505.8
Base detallada;Base detallada;Análisis financiero;Profesional Asesor;Salvado;52152
RPA_Remesadora;RPA_Remesadora;Tesoreria;Auxiliar tesoreria;Salvado;17192
Actualización Sisben Preescolares Q10;Actualización Sisben Preescolares Q10;Aprendizaje y Educación;Ayudante Operativo;Salvado;18330
