Proyecto;NombreBot;TiempoManualHoras;Tipo;Tecnologia;FechaSalidaProduccion;Estado;Desarrollador
NULL;RIPS Sura;8.5;Ejecuciones;Uipath;03/11/2020;Activo;Esneyder Gomez Marin
NULL;Tasa de usura;0.166666666666667;Ejecuciones;IRPA;;Inactivo;
NULL;ReporteVacunasAndi;1.5;Transacciones;Uipath;25/08/2021;Inactivo;Esneyder Gomez Marin
NULL;Informe y cruce primera infancia;9;Ejecuciones;Uipath;01/08/2022;Activo;
NULL;Asignación Ingresos;2.5;Ejecuciones;IRPA;;Inactivo;
NULL;DTF;0.25;Ejecuciones;IRPA;;Inactivo;
NULL;SubsidiosEmpleo;6;Ejecuciones;Uipath;05/07/2022;Activo;Esneyder Gomez Marin
NULL;RPA_Certificados_Empleo;0.1603;Transacciones;Power Automate;01/08/2025;Activo;Esneyder Gomez Marin
NULL;Base detallada;8;Ejecuciones;Uipath;01/02/2023;Inactivo;Esneyder Gomez Marin
NULL;Vacunacion tradicional Validacion Contrasenias;0.033;Ejecuciones;Uipath;19/06/2023;Inactivo;Esneyder Gomez Marin
NULL;PerfilamientoInformatico;0.33;Transacciones;Uipath;;Inactivo;
NULL;Aula digital;0.07;Transacciones;Uipath;24/10/2022;Inactivo;Yennifer Vanessa Serna Carvajal
NULL;Vacunacion tradicional Extraccion De Lotes;0.21;Ejecuciones;Uipath;19/06/2023;Inactivo;Esneyder Gomez Marin
NULL;RPA_AfiliacionesEmpleadores;3;Ejecuciones;Power Automate;25/07/2024;Inactivo;Esneyder Gomez Marin
NULL;RPA_ReporteGIASS;2;Ejecuciones;UiPath;14/02/2024;Inactivo;Esneyder Gomez Marin
NULL;Vacunacion tradicional carga de información;0.15;Transacciones;Uipath;19/06/2023;Inactivo;Esneyder Gomez Marin
NULL;Facturación salud - Por eventos;0;Transacciones;UiPath;;Inactivo;Esneyder Gomez Marin
NULL;Facturación Electrónica;0.0275;Transacciones;Power Automate;12/03/2025;Activo;Camilo Guzman Velasquez
NULL;Informe Cubo de Ventas;1.9;Ejecuciones;Uipath;;Activo;Yennifer Vanessa Serna Carvajal
NULL;RPA_VacunacionCovid;0.15;Transacciones;Power Automate;10/01/2024;Inactivo;Esneyder Gomez Marin
NULL;RPA_Validacion_Automatica_Documentos;0.0386666666666667;Transacciones;Uipath;07/07/2023;Activo;
NULL;ContingenciaVacunacionPrivados;0.016;Transacciones;Uipath;15/10/2021;Inactivo;Esneyder Gomez Marin
NULL;Aportes Novedades PILA R5;0.0344583987476714;Transacciones;Uipath;04/02/2022;Inactivo;Yennifer Vanessa Serna Carvajal
NULL;Novedades Nomina Instructores;0.083;Transacciones;Uipath;01/06/2021;Activo;Camilo Guzman Velasquez
NULL;AtomHojaVida;0.02;Transacciones;Uipath;07/12/2020;Activo;Esneyder Gomez Marin
NULL;RIPS Extranjeros;1.83333333333333;Ejecuciones;Uipath;03/11/2020;Activo;Esneyder Gomez Marin
