Automatizacion,Duracion_Ejecucion,Numero_Transacciones,Celula,Fecha_ejecucion,Hora_Ejecucion,Exitosas,ErroresNegocio,Area,TipoEjecucion,IdProceso,Duracion_Segundos,Duracion_Minutos,Numero_Transacciones_Num,Fecha_Ejecucion_dt,Anio,Mes,Dia_Semana,Hora
GestorRemitidos,16:25:10,1144,CelulaTransversal,2024-06-15,07:00:39 PM,1.0,0.0,Empleo,T,515993,59110.0,985.1666666666666,1144,2024-06-15,2024.0,6.0,Saturday,0.0
Vacunacion tradicional carga de información,03:12:46,970,CelulaSalud,2023-12-10,02:08:53 AM,970.0,0.0,,,210884,11566.0,192.76666666666668,970,2023-12-10,2023.0,12.0,Sunday,0.0
Vacunacion tradicional carga de información,03:13:50,320,CelulaSalud,2023-12-10,02:08:53 AM,320.0,186.0,,T,210885,11630.0,193.83333333333334,320,2023-12-10,2023.0,12.0,Sunday,0.0
Convocatorias Atom,01:53:11,1,CelulaTransversal,2023-12-11,04:00:40 AM,1.0,0.0,Empleo,E,210910,6791.0,113.18333333333334,1,2023-12-11,2023.0,12.0,Monday,0.0
AtomHojaVida,01:41:43,528,CelulaTransversal,2023-12-11,04:30:33 PM,1.0,0.0,Empleo,T,211044,6103.0,101.71666666666667,528,2023-12-11,2023.0,12.0,Monday,0.0
GestorRemitidos,03:46:44,369,CelulaTransversal,2023-12-11,07:00:37 PM,1.0,0.0,Empleo,T,211046,13604.0,226.73333333333332,369,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:48:35,7719,CelulaSalud,2023-12-11,04:22:59 PM,7719.0,0.0,,,211047,10115.0,168.58333333333334,7719,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:49:14,397,CelulaSalud,2023-12-11,04:22:58 PM,397.0,606.0,,T,211048,10154.0,169.23333333333332,397,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:03:51,6723,CelulaSalud,2023-12-11,07:12:31 PM,6723.0,0.0,,,211049,7431.0,123.85,6723,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:04:25,397,CelulaSalud,2023-12-11,07:12:31 PM,397.0,606.0,,T,211050,7465.0,124.41666666666667,397,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,01:24:07,2358,CelulaSalud,2023-12-12,12:31:26 AM,2358.0,0.0,,,211062,5047.0,84.11666666666666,2358,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,01:24:49,679,CelulaSalud,2023-12-12,12:31:26 AM,679.0,686.0,,T,211063,5089.0,84.81666666666666,679,2023-12-12,2023.0,12.0,Tuesday,0.0
GestorRemitidos,11:21:30,1100,CelulaTransversal,2023-12-13,07:00:37 PM,1.0,0.0,Empleo,T,211224,40890.0,681.5,1100,2023-12-13,2023.0,12.0,Wednesday,0.0
Pagos Facturacion y Libranza,01:32:08,38,ServiciosOrganizacionales,2023-12-14,06:30:32 AM,38.0,210.0,Tesoreria,T,211235,5528.0,92.13333333333334,38,2023-12-14,2023.0,12.0,Thursday,0.0
Aportes Fuera de PILA,01:42:35,179,ServiciosOrganizacionales,2023-12-14,01:58:23 PM,179.0,0.0,Aportes,T,211258,6155.0,102.58333333333333,179,2023-12-14,2023.0,12.0,Thursday,0.0
Aportes Novedades PILA R6,03:29:06,483,Servicios Organizacionales,2023-12-12,11:17:10 AM,464.0,19.0,Aportes,T,211170,12546.0,209.1,483,2023-12-12,2023.0,12.0,Tuesday,0.0
RPA Consulta SIMAT,03:00:16,1631,Educacion,2023-12-12,11:57:28 AM,1585.0,-46.0,Educacion,T,211171,10816.0,180.26666666666668,1631,2023-12-12,2023.0,12.0,Tuesday,0.0
GestorRemitidos,08:20:28,1100,CelulaTransversal,2023-12-12,07:00:37 PM,1.0,0.0,Empleo,T,211182,30028.0,500.46666666666664,1100,2023-12-12,2023.0,12.0,Tuesday,0.0
