Automatizacion,Duracion_Ejecucion,Numero_Transacciones,Celula,Fecha_ejecucion,Hora_Ejecucion,Exitosas,ErroresNegocio,Area,TipoEjecucion,IdProceso,Duracion_Segundos,Duracion_Minutos,Numero_Transacciones_Num,Fecha_Ejecucion_dt,Anio,Mes,Dia_Semana,Hora
Aseguramiento venta empresarial - Transcriptor,00:00:36,30,CelulaTransversal,2024-06-15,09:31:21 AM,30.0,0.0,Empresas,T,515672,36.0,0.6,30,2024-06-15,2024.0,6.0,Saturday,0.0
Aseguramiento venta empresarial,00:08:37,5,CelulaTransversal,2024-06-15,03:30:49 PM,0.0,3.0,Empresas,T,515969,517.0,8.616666666666667,5,2024-06-15,2024.0,6.0,Saturday,0.0
Aseguramiento venta empresarial,00:08:55,5,CelulaTransversal,2024-06-15,01:31:01 PM,0.0,3.0,Empresas,T,515772,535.0,8.916666666666666,5,2024-06-15,2024.0,6.0,Saturday,0.0
GestorRemitidos,16:25:10,1144,CelulaTransversal,2024-06-15,07:00:39 PM,1.0,0.0,Empleo,T,515993,59110.0,985.1666666666666,1144,2024-06-15,2024.0,6.0,Saturday,0.0
Vacunacion tradicional carga de información,03:12:46,970,CelulaSalud,2023-12-10,02:08:53 AM,970.0,0.0,,,210884,11566.0,192.76666666666668,970,2023-12-10,2023.0,12.0,Sunday,0.0
Vacunacion tradicional carga de información,03:13:50,320,CelulaSalud,2023-12-10,02:08:53 AM,320.0,186.0,,T,210885,11630.0,193.83333333333334,320,2023-12-10,2023.0,12.0,Sunday,0.0
AtomHojaVida,00:40:15,120,CelulaTransversal,2023-12-11,09:59:30 AM,1.0,0.0,Empleo,T,210925,2415.0,40.25,120,2023-12-11,2023.0,12.0,Monday,0.0
Aseguramiento venta empresarial,00:08:36,4,CelulaTransversal,2023-12-11,01:30:50 PM,4.0,0.0,Empresas,T,210931,516.0,8.6,4,2023-12-11,2023.0,12.0,Monday,0.0
Aseguramiento venta empresarial - Transcriptor,00:00:31,7,CelulaTransversal,2023-12-11,01:40:09 PM,7.0,0.0,Empresas,T,210932,31.0,0.5166666666666667,7,2023-12-11,2023.0,12.0,Monday,0.0
Novedades Nomina Instructores,00:17:36,59,Soporte_Personas&Familias,2023-12-11,02:00:45 PM,59.0,0.0,Admisiones y Registro,T,210937,1056.0,17.6,59,2023-12-11,2023.0,12.0,Monday,0.0
AtomHojaVida,01:41:43,528,CelulaTransversal,2023-12-11,04:30:33 PM,1.0,0.0,Empleo,T,211044,6103.0,101.71666666666667,528,2023-12-11,2023.0,12.0,Monday,0.0
GestorRemitidos,03:46:44,369,CelulaTransversal,2023-12-11,07:00:37 PM,1.0,0.0,Empleo,T,211046,13604.0,226.73333333333332,369,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:48:35,7719,CelulaSalud,2023-12-11,04:22:59 PM,7719.0,0.0,,,211047,10115.0,168.58333333333334,7719,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:49:14,397,CelulaSalud,2023-12-11,04:22:58 PM,397.0,606.0,,T,211048,10154.0,169.23333333333332,397,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:03:51,6723,CelulaSalud,2023-12-11,07:12:31 PM,6723.0,0.0,,,211049,7431.0,123.85,6723,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,02:04:25,397,CelulaSalud,2023-12-11,07:12:31 PM,397.0,606.0,,T,211050,7465.0,124.41666666666667,397,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,00:08:36,463,CelulaSalud,2023-12-11,09:17:01 PM,463.0,0.0,,,211051,516.0,8.6,463,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,00:58:08,3180,CelulaSalud,2023-12-11,11:30:21 PM,3180.0,0.0,,,211057,3488.0,58.13333333333333,3180,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,00:58:52,480,CelulaSalud,2023-12-11,11:30:21 PM,480.0,536.0,,T,211058,3532.0,58.86666666666667,480,2023-12-11,2023.0,12.0,Monday,0.0
Vacunacion tradicional carga de información,00:01:48,97,CelulaSalud,2023-12-12,12:29:16 AM,97.0,0.0,,,211059,108.0,1.8,97,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,01:24:07,2358,CelulaSalud,2023-12-12,12:31:26 AM,2358.0,0.0,,,211062,5047.0,84.11666666666666,2358,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,01:24:49,679,CelulaSalud,2023-12-12,12:31:26 AM,679.0,686.0,,T,211063,5089.0,84.81666666666666,679,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:05:11,277,CelulaSalud,2023-12-12,01:56:18 AM,277.0,0.0,,,211064,311.0,5.183333333333334,277,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:00:38,33,CelulaSalud,2023-12-12,02:01:54 AM,33.0,0.0,,,211066,38.0,0.6333333333333333,33,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:37:29,2009,CelulaSalud,2023-12-12,02:03:04 AM,2009.0,0.0,,,211068,2249.0,37.483333333333334,2009,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:38:01,679,CelulaSalud,2023-12-12,02:03:04 AM,679.0,686.0,,T,211069,2281.0,38.016666666666666,679,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:05:09,277,CelulaSalud,2023-12-12,02:41:11 AM,277.0,0.0,,,211070,309.0,5.15,277,2023-12-12,2023.0,12.0,Tuesday,0.0
Vacunacion tradicional carga de información,00:05:07,277,CelulaSalud,2023-12-12,02:47:24 AM,277.0,0.0,,,211072,307.0,5.116666666666666,277,2023-12-12,2023.0,12.0,Tuesday,0.0
Aportes Novedades PILA R2,00:07:19,3,Servicios Organizacionales,2023-12-12,08:43:32 AM,3.0,0.0,Aportes,T,211080,439.0,7.316666666666666,3,2023-12-12,2023.0,12.0,Tuesday,0.0
Aportes Novedades PILA R5,00:19:44,83,Servicios Organizacionales,2023-12-12,09:10:32 AM,83.0,0.0,Aportes,T,211083,1184.0,19.733333333333334,83,2023-12-12,2023.0,12.0,Tuesday,0.0
Aseguramiento venta empresarial - Transcriptor,00:15:24,1013,CelulaTransversal,2023-12-12,10:20:28 AM,1013.0,0.0,Empresas,T,211088,924.0,15.4,1013,2023-12-12,2023.0,12.0,Tuesday,0.0
RPASubvencionesFacturador,00:03:54,3,Servicios Organizacionales,2023-12-12,12:09:10 PM,3.0,0.0,Facturacion,T,211163,234.0,3.9,3,2023-12-12,2023.0,12.0,Tuesday,0.0
Aseguramiento venta empresarial,00:13:19,7,CelulaTransversal,2023-12-12,01:30:50 PM,5.0,2.0,Empresas,T,211167,799.0,13.316666666666666,7,2023-12-12,2023.0,12.0,Tuesday,0.0
Aseguramiento venta empresarial,00:04:32,2,CelulaTransversal,2023-12-12,03:30:49 PM,0.0,2.0,Empresas,T,211175,272.0,4.533333333333333,2,2023-12-12,2023.0,12.0,Tuesday,0.0
Aseguramiento venta empresarial,00:06:15,3,CelulaTransversal,2023-12-13,07:31:02 AM,1.0,2.0,Empresas,T,211188,375.0,6.25,3,2023-12-13,2023.0,12.0,Wednesday,0.0
Aseguramiento venta empresarial,00:15:25,8,CelulaTransversal,2023-12-13,10:00:17 AM,7.0,1.0,Empresas,T,211198,925.0,15.416666666666666,8,2023-12-13,2023.0,12.0,Wednesday,0.0
