Automatizacion,cantidad_ejecuciones,duracion_promedio_seg,duracion_mediana_seg,duracion_maxima_seg,transacciones_promedio,transacciones_totales
Correcciones vacunacion,40,30841.375,29149.0,84341.0,22276.85,891074
GestorRemitidos,1707,26840.97949619215,28019.0,84772.0,984.9712946690099,1681346
RPA_Certificados_Empleo,48,14817.791666666666,9624.5,51925.0,1005.9791666666666,48287
Aportes Fuera de PILA,598,9957.785953177257,6981.0,73796.0,219.3628762541806,131179
ProgramadorCitas- Ginecologia,845,7338.007100591716,8257.0,18035.0,63.50414201183432,53661
Convocatorias Atom,1021,7190.334965719882,7235.0,12982.0,1.0,1021
RIPS Entes,66,7092.045454545455,6697.5,18870.0,1.106060606060606,73
Pagos Facturacion y Libranza,940,6321.987234042554,5116.5,72310.0,145.50106382978723,136771
AtomHojaVida,1590,5552.201886792453,3663.5,56166.0,427.862893081761,680302
Aprendizajes Esenciales Q10,19,5528.421052631579,3147.0,57309.0,223.89473684210526,4254
Parametricas Uno,62,5329.451612903225,5436.0,13875.0,53.46774193548387,3315
RIPS Sura,85,5170.976470588235,4395.0,15991.0,1.0823529411764705,92
RPA Consulta SIMAT,13,5144.0,3663.0,10828.0,909.6923076923077,11826
ProgramadorCitas- Pediatria,763,4760.528178243774,4070.0,12193.0,35.32372214941022,26952
SubsidiosEmpleo,37,4688.189189189189,5122.0,11882.0,1.0,37
Aportes Novedades PILA R6,553,4679.4141048824595,3755.0,23726.0,106.40506329113924,58842
FlujoDeLiberaciones_V3,1433,3600.0,3600.0,3600.0,1.0,1433
Diagnostico Bienestar Informe Avances,24,3100.4166666666665,1953.0,19857.0,27.333333333333332,656
Anulacion Matriculas,94,3042.2978723404253,2442.5,15212.0,129.40425531914894,12164
Facturación Electrónica,2074,2200.907425265188,1415.5,22261.0,58.86354869816779,122083
Vacunacion tradicional APIS,3484,2075.686567164179,2117.0,23200.0,160.2695177956372,558379
Novedades Nomina Instructores,550,1703.3581818181817,972.5,125424.0,169.44363636363636,93194
Vacunacion tradicional carga de información,2422,1622.7530966143684,470.0,36863.0,809.3905862923204,1960344
Anulacion matriculas,34,1609.9705882352941,720.0,12094.0,301.3529411764706,10246
Aportes Novedades PILA R5,853,1425.0867526377492,1237.0,16012.0,50.18640093786635,42809
RPA Estaticas SISE,11,1322.2727271818183,419.0,3203.0,1.0,11
Carga Masiva Trabajadores Dependientes,122,1297.5983606557377,804.0,20400.0,3.5491803278688523,433
Plan Operativo Q10,400,1268.51,937.0,4152.0,1.0,400
